AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00134,Balaban,John,,,,,,,,,1943,,American,M,Caucasian,Romanian-American,2,,"PA State U, Harvard",,,,Quaker,,"Philadelphia, PA; Raleigh, NC"
A_00135,Balch,Frederic Homer,,,,,,,,,1861,1891,American,M,Caucasian,,,,,,,,,,OR; WA
A_00137,Baldwin,Faith,,,,,,,,,1893,1978,American,F,Caucasian,,,,,,,,,,"New Rochelle, NY; Norwalk, CT"
A_00139,Baldwin,James,,,,,,,,C,1924,1987,American,M,Black,African-American,,Gay,,,,,,,"New York, NY; Paris, Fance; Santi-Paul de Vence, France"
A_00141,Ball,John Dudley,,,,,,,,,1911,1989,American,M,,,,,Caroll Coll,,Journalist,,Lutheran,,"Schenectady, NY; Encino, CA"
A_00142,Ballard,Todhunter,,,,,,,,,1903,1980,American,M,,,,,Wilmington Coll,,Company Employee,,,,"Cleveland, OH"
A_00143,Ballinger,Bill S.,Bill Sanborn,,,,,,,,1912,1980,American,M,,,,,U of WI,,Screenwriter,,,,"Oskaloosa, IA; Tarzana, CA"
A_00145,Bambara,Toni Cade,,,,,,,,,1939,1995,American,F,Black,African-American,,,"Queens Coll, City Coll of NY",,,,,,"New York, NY;Philadelphia, PA"
A_00147,Bandelier,Adolph Francis Alphonse,,,,,,,,,1840,1914,American,M,Caucasian,Swiss-American,1,,,,Archaeology,,,,"Bern, Switzerland; Sevilla, Spain"
A_00148,Bangs,John Kendrick,,,,,,,,,1862,1922,American,M,Caucasian,,,,"Columbia, Columbia Law",,Editor,,,,"Yonkers, NY; New York, NY; Ogunquit, ME; Atlantic City, NJ"
A_00150,Banis,Victor J,,,,,,,,,1937,,American,M,Caucasian,,,Gay,,,,,,,"Huntingdon, PA; Eaton, OH; Dayton, OH; Los Angeles, CA; San Francisco, CA; Martinsburg, WV"
A_00151,Bankowsky,Richard,,,,,,,,,1928,,American,M,,,,,"Yale, Columbia",,,,,,"Sacramento, CA"
A_00153,Banks,Nancy Huston,,,,,,,,,,,American,F,Caucasian,,,,,,Journalist,,,,"KY; New York City, NY"
A_00154,Banks,Russell,,,,,,,,,1940,,American,M,Caucasian,,,,"Colgate U, U of NC",,Activist,,,Working,"Newton, MA; Miami, FL; Keene, NY"
A_00156,Barbour,A. Maynard,Anna Maynard,,,,,,,,,1941,American,F,,,,,,,,,Episcopal,,"Mansfield, NY; Helena, MT; Boston, MA; TN"
A_00158,Barbour,Ralph Henry,,,,,,,,,1870,1944,American,M,Caucasian,,,,,,,,,,
A_00159,Barclay,Florence L.,,,,,,,,,1862,1921,British,F,Caucasian,,,,,,,,Anglican,,"Limpsfield, Surrey, UK; East London, UK; Hertford Heath, Hertfordshire, UK"
A_00160,Bardin,John Franklin,,,,,,,,,1916,1981,American,M,Caucasian,,,,U of Cincinnati,,Publisher,,,,"Cincinnati, OH; New York, NY, Chicago, IL"
A_00166,Barnard,Robert,,,,,,,,,1936,2013,British,M,,,,,Oxford,,,,,,"Yorkshire, UK"
